
,,,,,Tot Yds &amp; TO,Tot Yds &amp; TO,Tot Yds &amp; TO,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Rk,Year,Tms,PF,Yds,Ply,Y/P,TO,FL,1stPy,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
61,1954,12,21.9,323.4,65.0,5.0,3.4,1.4,1.2,17.9,14.8,29.4,191.6,1.5,2.0,6.0,9.3,33.2,131.8,1.1,4.0,7.3,,,,,,,,
62,1953,12,21.5,307.4,65.5,4.7,3.5,1.4,1.0,16.9,14.0,29.6,173.8,1.3,2.1,5.4,8.3,33.5,133.6,1.2,4.0,7.6,,,,,,,,
63,1952,12,22.3,294.1,66.4,4.4,3.6,1.5,1.1,16.2,12.9,27.9,160.0,1.5,2.1,5.1,7.9,35.2,134.2,1.0,3.8,7.2,,,,,,,,
64,1951,12,21.9,314.7,67.1,4.7,3.3,1.3,1.5,17.9,12.6,27.0,162.7,1.4,2.0,5.5,7.6,37.5,152.0,1.2,4.1,8.7,,,,,,,,
65,1950,13,22.9,320.1,67.3,4.8,3.7,1.5,1.2,17.0,12.9,27.6,165.7,1.4,2.2,5.5,7.3,37.1,154.3,1.3,4.2,8.4,,,,,,,,
66,1949,10,22.5,311.6,68.2,4.6,3.4,1.3,1.4,17.5,12.7,27.3,161.0,1.4,2.1,5.5,7.8,38.7,150.6,1.3,3.9,8.3,,,,,,,,
67,1948,10,23.2,325.4,63.9,5.1,3.5,1.5,1.5,17.4,12.5,26.0,173.9,1.6,1.9,6.7,7.5,37.9,151.5,1.3,4.0,8.4,,,,,,,,
68,1947,10,22.0,319.6,60.6,5.3,3.5,1.4,1.7,16.6,11.7,24.9,180.6,1.6,2.1,7.2,7.3,35.7,139.0,1.1,3.9,7.6,,,,,,,,
69,1946,10,18.9,268.6,59.1,4.5,3.6,1.7,1.4,14.8,9.5,21.3,143.1,1.1,1.9,6.7,5.8,37.8,125.5,1.3,3.3,7.6,,,,,,,,
70,1945,10,18.5,266.5,57.3,4.7,3.0,1.1,1.2,12.1,9.6,21.1,143.8,1.1,1.9,6.8,4.8,36.2,122.7,1.3,3.4,6.2,,,,,,,,
71,1944,11,18.0,248.2,58.4,4.3,3.5,1.1,0.9,11.5,9.1,21.1,129.3,1.2,2.3,6.1,4.6,37.2,119.0,1.2,3.2,6.0,,,,,,,,
72,1943,10,19.5,259.7,58.5,4.4,3.2,0.9,0.9,11.7,9.6,21.7,141.4,1.4,2.3,6.5,4.5,36.8,118.3,1.1,3.2,6.3,,,,,,,,
73,1942,10,15.9,246.8,57.3,4.3,3.0,1.1,0.9,11.8,9.0,20.4,123.7,1.0,2.0,6.1,4.6,36.8,123.1,0.9,3.3,6.3,,,,,,,,
